"run","nb","step","red","blue","green"
"2","50","1","0.3","0.22","0.48"
"4","50","1","0.22","0.38","0.4"
"1","50","1","0.22","0.28","0.5"
"6","50","1","0.34","0.26","0.4"
"7","50","1","0.2","0.24","0.56"
"5","50","1","0.28","0.24","0.48"
"10","50","1","0.26","0.2","0.54"
"9","50","1","0.2","0.26","0.54"
"11","100","1","0.3","0.22","0.48"
"13","100","1","0.31","0.2","0.49"
"12","100","1","0.19","0.3","0.51"
"14","100","1","0.22","0.27","0.51"
"8","50","1","0.2","0.24","0.56"
"16","100","1","0.28","0.25","0.47"
"18","100","1","0.23","0.36","0.41"
"17","100","1","0.2","0.3","0.5"
"19","100","1","0.28","0.23","0.49"
"20","100","1","0.22","0.27","0.51"
"15","100","1","0.23","0.31","0.46"
"22","200","1","0.245","0.255","0.5"
"21","200","1","0.24","0.205","0.555"
"24","200","1","0.25","0.285","0.465"
"23","200","1","0.315","0.25","0.435"
"3","50","1","0.18","0.16","0.66"
"25","200","1","0.245","0.255","0.5"
"26","200","1","0.22","0.235","0.545"
"28","200","1","0.295","0.2","0.505"
"29","200","1","0.225","0.295","0.48"
"27","200","1","0.27","0.22","0.51"
"31","500","1","0.248","0.272","0.48"
"30","200","1","0.29","0.235","0.475"
"34","500","1","0.272","0.23","0.498"
"35","500","1","0.232","0.25","0.518"
"36","500","1","0.236","0.268","0.496"
"33","500","1","0.268","0.244","0.488"
"32","500","1","0.246","0.266","0.488"
"38","500","1","0.24","0.226","0.534"
"37","500","1","0.21","0.256","0.534"
"40","500","1","0.264","0.248","0.488"
"41","1000","1","0.243","0.266","0.491"
"39","500","1","0.29","0.26","0.45"
"44","1000","1","0.258","0.237","0.505"
"42","1000","1","0.25","0.247","0.503"
"46","1000","1","0.251","0.25","0.499"
"47","1000","1","0.248","0.258","0.494"
"43","1000","1","0.247","0.238","0.515"
"48","1000","1","0.218","0.246","0.536"
"45","1000","1","0.255","0.272","0.473"
"49","1000","1","0.26","0.272","0.468"
"50","1000","1","0.256","0.247","0.497"
"53","2000","1","0.2535","0.2435","0.503"
"52","2000","1","0.268","0.251","0.481"
"54","2000","1","0.243","0.2545","0.5025"
"51","2000","1","0.268","0.2465","0.4855"
"55","2000","1","0.251","0.2585","0.4905"
"57","2000","1","0.258","0.262","0.48"
"56","2000","1","0.231","0.264","0.505"
"60","2000","1","0.26","0.246","0.494"
"58","2000","1","0.264","0.2525","0.4835"
"59","2000","1","0.2675","0.252","0.4805"
"61","5000","1","0.2604","0.2428","0.4968"
"63","5000","1","0.2426","0.2602","0.4972"
"65","5000","1","0.2518","0.2556","0.4926"
"62","5000","1","0.2522","0.2544","0.4934"
"64","5000","1","0.2578","0.2462","0.496"
"66","5000","1","0.2574","0.2438","0.4988"
"68","5000","1","0.2608","0.2472","0.492"
"69","5000","1","0.2468","0.259","0.4942"
"67","5000","1","0.2546","0.2512","0.4942"
"70","5000","1","0.2456","0.2574","0.497"
